"","row_id","drink","date_modified","id_drink","alcoholic","category","glass","ingredient_number","ingredient","measure","measure_vol_frc","measure_vol_dec","measure_vol_dsh","measure_unit","measure_new","measure_ml","measure_stdz","ingredient_and_others","original_ingredient"
"1739",444,"Rum Toddy",2017-09-08 16:58:06,12097,"alcoholic","ordinary drink","old-fashioned glass",3,"lemon peel","1 twist of","1",NA,NA,"twist of",1,NA,-0.0731584639822161,"lemon peel","lemon peel"
"1740",444,"Rum Toddy",2017-09-08 16:58:06,12097,"alcoholic","ordinary drink","old-fashioned glass",4,"water","2 tsp","2",NA,NA,"tsp",2,NA,-0.0585595658120971,"water","water"
"1741",445,"Russian Spring Punch",2017-09-02 18:31:28,17214,"alcoholic","ordinary drink","highball glass",1,"vodka","2.5 cl","2",2.5,NA,"cl",2.5,25,-0.0512601167270376,"vodka","vodka"
"1742",445,"Russian Spring Punch",2017-09-02 18:31:28,17214,"alcoholic","ordinary drink","highball glass",2,"creme de cassis","1.5 cl","1",1.5,NA,"cl",1.5,15,-0.0658590148971566,"uncommon ingredient","creme de cassis"
"1743",445,"Russian Spring Punch",2017-09-02 18:31:28,17214,"alcoholic","ordinary drink","highball glass",3,"sugar syrup","1 cl","1",NA,NA,"cl",1,10,-0.0731584639822161,"sugar syrup","sugar syrup"
"1744",445,"Russian Spring Punch",2017-09-02 18:31:28,17214,"alcoholic","ordinary drink","highball glass",4,"lemon juice","2.5 cl","2",2.5,NA,"cl",2.5,25,-0.0512601167270376,"lemon juice","lemon juice"
"1745",446,"Rusty Nail",2016-11-04 09:49:42,12101,"alcoholic","ordinary drink","old-fashioned glass",1,"scotch","1 1/2 oz","1 1/2",NA,NA,"oz",1.5,42,-0.0658590148971566,"scotch","scotch"
"1746",446,"Rusty Nail",2016-11-04 09:49:42,12101,"alcoholic","ordinary drink","old-fashioned glass",2,"drambuie","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"uncommon ingredient","drambuie"
"1747",446,"Rusty Nail",2016-11-04 09:49:42,12101,"alcoholic","ordinary drink","old-fashioned glass",3,"lemon peel","1 twist of","1",NA,NA,"twist of",1,NA,-0.0731584639822161,"lemon peel","lemon peel"
"1748",447,"Salty Dog",2017-09-08 18:03:36,12107,"alcoholic","ordinary drink","highball glass",1,"grapefruit juice","5 oz","5",NA,NA,"oz",5,140,-0.01476287130174,"uncommon ingredient","grapefruit juice"
"1749",447,"Salty Dog",2017-09-08 18:03:36,12107,"alcoholic","ordinary drink","highball glass",2,"gin","1 1/2 oz","1 1/2",NA,NA,"oz",1.5,42,-0.0658590148971566,"gin","gin"
"1750",447,"Salty Dog",2017-09-08 18:03:36,12107,"alcoholic","ordinary drink","highball glass",3,"salt","1/4 tsp","1/4",NA,NA,"tsp",0.25,NA,-0.0841076376098054,"salt","salt"
"1751",448,"San Francisco",2017-09-08 17:59:21,15184,"alcoholic","ordinary drink","highball glass",1,"vodka","2 cl","2",NA,NA,"cl",2,20,-0.0585595658120971,"vodka","vodka"
"1752",448,"San Francisco",2017-09-08 17:59:21,15184,"alcoholic","ordinary drink","highball glass",2,"creme de banane","2 cl","2",NA,NA,"cl",2,20,-0.0585595658120971,"uncommon ingredient","creme de banane"
"1753",448,"San Francisco",2017-09-08 17:59:21,15184,"alcoholic","ordinary drink","highball glass",3,"grenadine","",NA,NA,NA,NA,NA,NA,NA,"grenadine","grenadine"
"1754",449,"Sangria #1",2015-09-03 04:01:20,13020,"alcoholic","punch / party drink","pitcher",1,"red wine","1 bottle","1",NA,NA,"bottle",1,NA,-0.0731584639822161,"red wine","red wine"
"1755",449,"Sangria #1",2015-09-03 04:01:20,13020,"alcoholic","punch / party drink","pitcher",2,"sugar","1/2 cup","1/2",NA,NA,"cup",0.5,125,-0.0804579130672757,"sugar","sugar"
"1756",449,"Sangria #1",2015-09-03 04:01:20,13020,"alcoholic","punch / party drink","pitcher",3,"orange juice","1 cup","1",NA,NA,"cup",1,250,-0.0731584639822161,"orange juice","orange juice"
"1757",449,"Sangria #1",2015-09-03 04:01:20,13020,"alcoholic","punch / party drink","pitcher",4,"lemon juice","1 cup","1",NA,NA,"cup",1,250,-0.0731584639822161,"lemon juice","lemon juice"
"1758",449,"Sangria #1",2015-09-03 04:01:20,13020,"alcoholic","punch / party drink","pitcher",5,"cloves","",NA,NA,NA,NA,NA,NA,NA,"uncommon ingredient","cloves"
"1759",450,"Sangria - The World's Best",2016-07-19 11:31:04,13026,"alcoholic","punch / party drink","pitcher",1,"red wine","1 1/2 l","1 1/2",NA,NA,"l",1.5,1500,-0.0658590148971566,"red wine","red wine"
"1760",450,"Sangria - The World's Best",2016-07-19 11:31:04,13026,"alcoholic","punch / party drink","pitcher",2,"sugar","1 cup","1",NA,NA,"cup",1,250,-0.0731584639822161,"sugar","sugar"
"1761",450,"Sangria - The World's Best",2016-07-19 11:31:04,13026,"alcoholic","punch / party drink","pitcher",3,"lemon","1 large","1",NA,NA,"large",1,NA,-0.0731584639822161,"lemon","lemon"
"1762",450,"Sangria - The World's Best",2016-07-19 11:31:04,13026,"alcoholic","punch / party drink","pitcher",4,"orange","1 large","1",NA,NA,"large",1,NA,-0.0731584639822161,"orange","orange"
"1763",450,"Sangria - The World's Best",2016-07-19 11:31:04,13026,"alcoholic","punch / party drink","pitcher",5,"apple","1 large","1",NA,NA,"large",1,NA,-0.0731584639822161,"uncommon ingredient","apple"
"1764",450,"Sangria - The World's Best",2016-07-19 11:31:04,13026,"alcoholic","punch / party drink","pitcher",6,"brandy","3-4 oz plain","3",NA,"3-4","oz plain",3,84,-0.0439606676419781,"brandy","brandy"
